repo,Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
OWASP/www-project-software-component-verification-standard,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,,,,,✔,✔,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-software-security-5d-framework,,,,,✔,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-docker-top-10,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-information-security-metrics-bank,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-find-security-bugs,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-container-security-verification-standard,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-maryam,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,✔,✔,,,,✔,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cloud-native-application-security-top-10,,,,,,,✔,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-threat-model-cookbook,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-iot-analytics-4industry4,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-application-security-curriculum,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-d4n155,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-secure-coding-dojo,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-software-composition-security,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-jupiter,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-lock-it,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-serverless-goat,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-sedated,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-go-secure-coding-practices-guide,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-revelo,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-top-10-card-game,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-wpbullet,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-vulnerable-web-application,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cloud-security-mentor,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-voice-automated-application-security,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-risk-assessment-framework,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,✔,✔,,,,,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-machine-learning-security-top-10,,,,,✔,✔,✔,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-glue-tool,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cloud-security,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-online-academy,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-qrljacker,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-nettacker,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-php,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-samuraiwtf,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-enterprise-security-api,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,✔,,,,,,,,,,,,✔,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-api-security,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-seclists,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-learning-gateway,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-security-pins,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-zezengorri-code,,,,,,,,,✔,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,,,,✔,✔,✔,,,
OWASP/www-project-owtf,,,,,,✔,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,✔,✔,,,,✔,✔,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-blockchain-security-framework,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-serverless-top-10,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-top-ten,,,,,✔,✔,✔,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-security-shepherd,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-application-security-verification-standard,,,,,,✔,,,,,,,,,✔,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-code-review-guide,,,,,,✔,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-secure-coding-practices-quick-reference-guide,,,,,,✔,,,,,,,,,,,✔,,,✔,✔,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cheat-sheets,,,,,,✔,,,,,,,,,,,✔,,,✔,✔,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-webgoat,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-csrfguard,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,✔,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-modsecurity-core-rule-set,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-samm,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,✔,,,✔,,,,,✔,✔,✔,,,
OWASP/www-project-proactive-controls,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-web-security-testing-guide,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-hackademic-challenges,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-ende,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-security-knowledge-framework,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,✔,✔,✔,✔,,
OWASP/www-project-top-10-privacy-risks,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-igoat-tool,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-java-encoder,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-rfp-criteria,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-appsensor,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-web-testing-environment,,,,,,,,,✔,,,,,✔,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-o2-platform,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-passfault,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-json-sanitizer,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-bug-logging-tool,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-java-html-sanitizer,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-university-challenge,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-wafec,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-hacking-lab,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-threat-dragon,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,✔,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-top-10-fuer-entwickler,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cornucopia,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,✔,✔,,,,✔,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-juice-shop,,,,,✔,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,✔,,,,✔,,,,,✔,✔,✔,,,
OWASP/www-project-vulnerable-web-applications-directory,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-dependency-track,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,✔,✔,,,,✔,✔,,,,,✔,✔,✔,,,
OWASP/www-project-webgoat-php,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-benchmark,,,,,,✔,,,✔,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,✔,✔,,,,✔,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-automated-threats-to-web-applications,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,✔,,,,,,,,,,,,✔,✔,,,,✔,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-node.js-goat,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,
OWASP/www-project-rat,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-belva,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-media-archive,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-defectdojo,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,✔,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-security-logging,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-zsc-tool,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-game-security-framework,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-webspa,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-off-the-record-4-java,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-reverse-engineering-and-code-modification-prevention,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-web-mapper,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,✔,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-deepviolet-tls-ssl-scanner,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-vbscan,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-internet-of-things-top-10,,,,,,✔,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-secure-medical-device-deployment-standard,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-incident-response,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-code-pulse,,,,,,,,,,,,,,✔,,,✔,,✔,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-mth3l3m3nt-framework,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-appsec-pipeline,,,,,,,,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-pyttacker,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-secure-headers,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,✔,,,,,,,,✔,✔,✔,✔,,
OWASP/www-project-jotp,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-mobile-app-security,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,✔,,
OWASP/www-project-php-security-training,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-seraphimdroid,,,,,,,✔,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-o-saft,,,,,✔,✔,✔,,✔,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-snakes-and-ladders,,,,,,✔,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,,,,✔,✔,,,,✔,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-python-security,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-anti-ransomware-guide,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-knowledge-based-authentication-performance-metrics,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-dependency-check,,,,,,,,,,,,,,,,,✔,,✔,✔,✔,,,,,,,,,✔,,,,✔,,,,,✔,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-embedded-application-security,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-podcast,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-broken-web-applications,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-virtual-patching-best-practices,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-mobile-security,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-project-vicnum,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-.net,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,,,
OWASP/www-project-dvsa,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-python-honeypot,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-ctf,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-cloud-testing-guide,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-securecodebox,,,,,,✔,,,,,,,,,,,✔,,✔,✔,,,,,,,,,,✔,,,,✔,,,,✔,,,,,✔,,,,,,✔,✔,✔,,,
OWASP/www-project-intelligent-intrusion-detection-system,,,,,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-project-auth,,,,,,,✔,,,,,,,✔,,,✔,,✔,✔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-space-coast,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-nagoya,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,✔,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-barranquilla,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-halifax,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-worcestershire,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-lome,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-dnipro,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,,✔,,,,
OWASP/www-chapter-cape-coast,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-tegucigalpa,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,✔,,,,,,✔,✔,✔,,,
OWASP/www-chapter-seoul,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-amman,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-south-sweden,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-san-pedro-sula,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,✔,,,
OWASP/www-chapter-syracuse,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-sibiu,,,,,,,,,,,,,,✔,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-nainital,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-hereford,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-guayaquil,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-st.-george,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cairo,,,,,,,,,✔,✔,,,,,,,✔,,✔,,,,,,,,✔,✔,,,,,,,,,✔,,✔,✔,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-huntington,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-ghana,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-johannesburg,,,,,,,✔,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-morocco,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-nigeria,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-tunisia,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-tripoli,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-burkina-faso,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
